### 2016-02-09 14:00:50.959422009 +0100 CET Data Acquisition

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(º/s), gyrY(º/s), gyrZ(º/s) 

[Ard], 8158855, 0, 1639745308, 95, 0.766602, -0.568115, -0.317139, 1.129771, 1.839695, 0.458015
[Ard], 8209650, 0, 1639784828, 94, 0.768799, -0.571045, -0.319336, 1.290076, 1.572519, 0.549618
[Ard], 8248271, 0, 1639824348, 95, 0.767578, -0.567871, -0.320801, 1.213740, 1.625954, 0.503817
[Ard], 8289507, 0, 1639863868, 95, 0.768799, -0.562256, -0.314209, 1.198473, 1.679389, 0.534351
[Ard], 8308912, 0, 1639903388, 94, 0.766846, -0.565918, -0.311279, 1.305344, 1.671756, 0.381679
[Ard], 8340482, 0, 1639942908, 95, 0.770752, -0.559814, -0.320312, 1.419847, 1.854962, 0.541985
[Ard], 8387584, 0, 1639982428, 94, 0.771729, -0.566406, -0.322266, 1.083969, 1.748092, 0.473282
[Ard], 8432526, 0, 1640021948, 95, 0.770996, -0.566406, -0.318604, 1.404580, 1.725191, 0.534351
[Ard], 8470891, 0, 1640061468, 94, 0.762451, -0.568604, -0.319336, 1.328244, 1.610687, 0.343511
[Ard], 8527488, 0, 1640100988, 94, 0.767822, -0.566406, -0.310791, 1.083969, 1.801527, 0.396947
[Ard], 8562139, 0, 1640140508, 95, 0.766357, -0.576904, -0.317139, 1.374046, 1.778626, 0.503817
[Ard], 8611175, 0, 1640180028, 94, 0.763672, -0.570312, -0.315674, 1.236641, 1.656489, 0.549618
[Ard], 8650156, 0, 1640219548, 95, 0.769775, -0.569336, -0.315918, 1.198473, 1.793893, 0.412214
[Ard], 8719485, 0, 1640259068, 94, 0.767334, -0.570801, -0.321289, 1.160305, 1.687023, 0.488550
[Ard], 8736189, 0, 1640298588, 94, 0.760742, -0.569824, -0.329590, 1.190840, 1.717557, 0.419847
[Ard], 8758007, 0, 1640338108, 95, 0.764160, -0.569824, -0.318604, 1.343511, 1.648855, 0.488550
[Ard], 8782543, 0, 1640377628, 94, 0.771240, -0.568848, -0.322021, 1.106870, 1.694656, 0.419847
[Ard], 8837729, 0, 1640417148, 95, 0.761719, -0.564453, -0.317139, 1.259542, 1.755725, 0.396947
[Ard], 8865362, 0, 1640456668, 94, 0.759277, -0.566650, -0.318359, 1.190840, 1.740458, 0.351145
[Ard], 8901516, 0, 1640496188, 94, 0.761230, -0.567627, -0.319580, 1.022901, 1.786260, 0.442748
[Ard], 8945406, 0, 1640535708, 95, 0.764160, -0.567871, -0.320557, 1.282443, 1.709924, 0.396947
[Ard], 8991048, 0, 1640575228, 94, 0.773438, -0.562744, -0.320557, 1.267176, 1.877863, 0.473282
[Ard], 9040197, 0, 1640614748, 95, 0.764404, -0.569824, -0.313965, 1.328244, 1.732824, 0.458015
